title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
מרגו שלי,מרגו_שלי,1969,[],"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""עודד תאומי"", ""slug"": ""עודד_תאומי""}, {""name"": ""לבנה פינקלשטיין"", ""slug"": ""לבנה_פינקלשטיין""}, {""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}]",דרמה,1969,,4,A (<=1970)
תעלת בלאומילך,תעלת_בלאומילך,1969,[],"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]","[{""name"": ""בומבה צור"", ""slug"": ""בומבה_צור""}, {""name"": ""שרגא פרידמן"", ""slug"": ""שרגא_פרידמן""}, {""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""נסים עזיקרי"", ""slug"": ""נסים_עזיקרי""}, {""name"": ""אברהם רונאי"", ""slug"": ""אברהם_רונאי""}]",קומדיה,1969,,5,A (<=1970)
המלחמה לאחר המלחמה,המלחמה_לאחר_המלחמה,1969,[],"[{""name"": ""מיכה שגריר"", ""slug"": ""מיכה_שגריר""}]",[],תעודי,1969,,0,A (<=1970)
לפני מחר,לפני_מחר,1969,[],"[{""name"": ""אלידע גרא"", ""slug"": ""אלידע_גרא""}]","[{""name"": ""ישראל פוליאקוב"", ""slug"": ""ישראל_פוליאקוב""}, {""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}]",,1969,,2,A (<=1970)
מקרה אשה,,1969,[],"[{""name"": ""ז'אק קתמור"", ""slug"": ""ז'אק_קתמור""}]","[{""name"": ""הילית ישורון"", ""slug"": ""הילית_ישורון""}]",,1969,,1,A (<=1970)
42:6,,1969,[],"[{""name"": ""דוד פרלוב"", ""slug"": ""דוד_פרלוב""}]",[],,1969,,0,A (<=1970)
שבלול,שבלול_(סרט),1970,"[{""name"": ""בועז דוידזון"", ""slug"": ""בועז_דוידזון""}]","[{""name"": ""בועז דוידזון"", ""slug"": null}]","[{""name"": ""אריק איינשטיין"", ""slug"": ""אריק_איינשטיין""}, {""name"": ""אלונה איינשטיין"", ""slug"": ""אלונה_איינשטיין""}, {""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}, {""name"": ""שלום חנוך"", ""slug"": ""שלום_חנוך""}, {""name"": ""צבי שיסל"", ""slug"": ""צבי_שיסל""}]",,1970,,5,A (<=1970)
אורח בעונה מתה,אורח_בעונה_מתה,1970,"[{""name"": ""משה מזרחי"", ""slug"": ""משה_מזרחי_(במאי_קולנוע)""}, {""name"": ""רחל פביאן"", ""slug"": null}]","[{""name"": ""משה מזרחי"", ""slug"": null}]",[],דרמה,1970,,0,A (<=1970)
הפריצה הגדולה,הפריצה_הגדולה,1970,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}, {""name"": ""יוסף גרוס"", ""slug"": ""יוסף_גרוס""}]","[{""name"": ""מנחם גולן"", ""slug"": null}]","[{""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}, {""name"": ""יהודה ברקן"", ""slug"": ""יהודה_ברקן""}, {""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}, {""name"": ""גבי עמרני"", ""slug"": ""גבי_עמרני""}]",דרמה,1970,,5,A (<=1970)
השוטר אזולאי,השוטר_אזולאי,1970,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]","[{""name"": ""אפרים קישון"", ""slug"": null}]","[{""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""זהרירה חריפאי"", ""slug"": ""זהרירה_חריפאי""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""ניצה שאול"", ""slug"": ""ניצה_שאול""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}]",דרמה,1970,,5,A (<=1970)
השמלה,יהודה_ג'אד_נאמן,1970,"[{""name"": ""יהודה נאמן"", ""slug"": ""יהודה_נאמן""}, {""name"": ""רחל נאמן"", ""slug"": null}]","[{""name"": ""יהודה נאמן"", ""slug"": null}]","[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""לאורה ריבלין"", ""slug"": ""לאורה_ריבלין""}, {""name"": ""מוטי ברכאן"", ""slug"": ""מוטי_ברכאן""}, {""name"": ""יאיר רובין"", ""slug"": ""יאיר_רובין""}, {""name"": ""ג'וזי כץ"", ""slug"": ""ג'וזי_כץ""}, {""name"": ""גבי אלדור"", ""slug"": ""גבי_אלדור""}]",דרמה,1970,,6,A (<=1970)
התמהוני,התמהוני,1970,"[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}]","[{""name"": ""דן וולמן"", ""slug"": null}]","[{""name"": ""לאורה ריבלין"", ""slug"": ""לאורה_ריבלין""}, {""name"": ""שלמה בר-שביט"", ""slug"": ""שלמה_בר-שביט""}, {""name"": ""נתן כוגן"", ""slug"": ""נתן_כוגן""}, {""name"": ""דבורה קידר"", ""slug"": ""דבורה_קידר""}]",דרמה,1970,,4,A (<=1970)
התרוממות,התרוממות_(סרט),1970,"[{""name"": ""טלילה בן זכאי"", ""slug"": ""טלילה_בן_זכאי""}]","[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""שלישיית הגשש החיוור"", ""slug"": ""הגשש_החיוור""}, {""name"": ""ציפי שביט"", ""slug"": ""ציפי_שביט""}, {""name"": ""ג'וזי כץ"", ""slug"": ""ג'וזי_כץ""}, {""name"": ""לאורה ריבלין"", ""slug"": ""לאורה_ריבלין""}]",קומדיה,1970,,4,A (<=1970)
