title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
ג'רוזלם,ג'רוזלם_(סרט),2016,"[{""name"": ""דורון פז"", ""slug"": null}, {""name"": ""יואב פז"", ""slug"": null}]","[{""name"": ""דורון פז"", ""slug"": null}, {""name"": ""יואב פז"", ""slug"": null}]","[{""name"": ""יון תומרקין"", ""slug"": ""יון_תומרקין""}, {""name"": ""יעל גרובגלס"", ""slug"": ""יעל_גרובגלס""}, {""name"": ""דניאל ג'יידלין"", ""slug"": ""דניאל_ג'יידלין""}]",אימה,2016,,3,C (>1990)
האיש שבקיר,האיש_שבקיר_(סרט),2016,"[{""name"": ""יבגני רומן"", ""slug"": ""יבגני_רומן""}]","[{""name"": ""יבגני רומן"", ""slug"": ""יבגני_רומן""}]","[{""name"": ""תמר אלקן"", ""slug"": ""תמר_אלקן""}, {""name"": ""גלעד כהנא"", ""slug"": ""גלעד_כהנא""}, {""name"": ""יואב דונט"", ""slug"": ""יואב_דונט""}]",מתח,2016,,3,C (>1990)
נדיה - שם זמני,נדיה_-_שם_זמני,2016,"[{""name"": ""טובה אשר"", ""slug"": ""טובה_אשר""}, {""name"": ""ענת אשר"", ""slug"": null}]","[{""name"": ""טובה אשר"", ""slug"": ""טובה_אשר""}]","[{""name"": ""נטע שפיגלמן"", ""slug"": ""נטע_שפיגלמן""}, {""name"": ""עודד לאופולד"", ""slug"": ""עודד_לאופולד""}, {""name"": ""עלי סלימאן"", ""slug"": ""עלי_סלימאן""}, {""name"": ""אלי קרן-אסף"", ""slug"": ""אלי_קרן-אסף""}]",דרמה,2016,,4,C (>1990)
ילדי הסתיו,ילדי_הסתיו,2016,"[{""name"": ""איתן גפני"", ""slug"": ""איתן_גפני_(במאי)""}, {""name"": ""דניאלה דנציגר"", ""slug"": null}]","[{""name"": ""איתן גפני"", ""slug"": null}]","[{""name"": ""נועה מימן"", ""slug"": ""נועה_מימן""}, {""name"": ""אקי אבני"", ""slug"": ""אקי_אבני""}, {""name"": ""יפתח אופיר"", ""slug"": ""יפתח_אופיר""}]",אימה,2016,,3,C (>1990)
שבוע ויום,שבוע_ויום,2016,"[{""name"": ""אסף פולונסקי"", ""slug"": null}]","[{""name"": ""אסף פולונסקי"", ""slug"": null}]","[{""name"": ""שי אביבי"", ""slug"": ""שי_אביבי""}, {""name"": ""תומר קפון"", ""slug"": ""תומר_קפון""}, {""name"": ""יבגניה דודינה"", ""slug"": ""יבגניה_דודינה""}, {""name"": ""אורי גבריאל"", ""slug"": ""אורי_גבריאל""}]",דרמה,2016,,4,C (>1990)
ישמח חתני,ישמח_חתני_(סרט),2016,"[{""name"": ""שלומית נחמה"", ""slug"": ""שלומית_נחמה""}]","[{""name"": ""שלומית נחמה"", ""slug"": ""שלומית_נחמה""}, {""name"": ""אמיל בן שמעון"", ""slug"": ""אמיל_בן_שמעון""}]","[{""name"": ""אוולין הגואל"", ""slug"": ""אוולין_הגואל""}, {""name"": ""יגאל נאור"", ""slug"": ""יגאל_נאור""}, {""name"": ""אביב אלוש"", ""slug"": ""אביב_אלוש""}, {""name"": ""אורנה בנאי"", ""slug"": ""אורנה_בנאי""}, {""name"": ""עינת שרוף"", ""slug"": ""עינת_שרוף""}, {""name"": ""איציק כהן"", ""slug"": ""איציק_כהן_(שחקן)""}, {""name"": ""חיים זנאתי"", ""slug"": ""חיים_זנאתי""}, {""name"": ""הרצל טובי"", ""slug"": ""הרצל_טובי""}, {""name"": ""אברהם סלקטר"", ""slug"": ""אברהם_סלקטר""}, {""name"": ""יפית אסולין"", ""slug"": ""יפית_אסולין""}, {""name"": ""שרון אלימלך"", ""slug"": ""שרון_אלימלך""}]",דרמה,2016,,11,C (>1990)
נמל בית,נמל_בית,2016,"[{""name"": ""ארז תדמור"", ""slug"": ""ארז_תדמור_(במאי_קולנוע)""}, {""name"": ""שלמה אפרתי"", ""slug"": ""שלמה_אפרתי""}]","[{""name"": ""ארז תדמור"", ""slug"": ""ארז_תדמור_(במאי_קולנוע)""}]","[{""name"": ""יורם חטב"", ""slug"": ""יורם_חטב""}, {""name"": ""דליה בגר"", ""slug"": null}, {""name"": ""לירון בן-שלוש"", ""slug"": ""לירון_בן-שלוש""}, {""name"": ""שמיל בן ארי"", ""slug"": ""שמיל_בן_ארי""}, {""name"": ""אנה דוברוביצקי"", ""slug"": ""אנה_דוברוביצקי""}, {""name"": ""אודי פרסי"", ""slug"": ""אודי_פרסי""}, {""name"": ""שרון אלכסנדר"", ""slug"": ""שרון_אלכסנדר""}]",דרמה,2016,,7,C (>1990)
אבינו,אבינו_(סרט),2016,"[{""name"": ""מני יעיש"", ""slug"": ""מני_יעיש""}]","[{""name"": ""מני יעיש"", ""slug"": ""מני_יעיש""}]","[{""name"": ""מוריס כהן"", ""slug"": ""מוריס_כהן_(שחקן)""}, {""name"": ""רותם זיסמן-כהן"", ""slug"": ""רותם_זיסמן-כהן""}, {""name"": ""אלון דהן"", ""slug"": ""אלון_דהן_(שחקן)""}, {""name"": ""הרצל טובי"", ""slug"": ""הרצל_טובי""}, {""name"": ""חיים זנאתי"", ""slug"": ""חיים_זנאתי""}]",דרמה,2016,,5,C (>1990)
ג'נקשן 48,ג'נקשן_48,2016,"[{""name"": ""אורן מוברמן"", ""slug"": ""אורן_מוברמן""}, {""name"": ""תאמר נפאר"", ""slug"": ""תאמר_נפאר""}]","[{""name"": ""אודי אלוני"", ""slug"": ""אודי_אלוני""}]","[{""name"": ""תאמר נפאר"", ""slug"": ""תאמר_נפאר""}, {""name"": ""סאמר קופטי"", ""slug"": null}, {""name"": ""סלווה נקארה"", ""slug"": ""סלווה_נקארה""}, {""name"": ""סעיד דסוקי"", ""slug"": null}, {""name"": ""אדיב ספדי"", ""slug"": null}, {""name"": ""טארק קופטי"", ""slug"": null}, {""name"": ""מאיסה עבד אלהאדי"", ""slug"": ""מאיסה_עבד_אלהאדי""}]",דרמה,2016,,7,C (>1990)
אינרציה,אינרציה_(סרט),2016,"[{""name"": ""יפעת מקבי"", ""slug"": null}, {""name"": ""עידן חגואל"", ""slug"": null}]","[{""name"": ""עידן חגואל"", ""slug"": null}]","[{""name"": ""אילנית בן-יעקב"", ""slug"": ""אילנית_בן-יעקב""}, {""name"": ""גליה ישי"", ""slug"": ""גליה_ישי""}, {""name"": ""מוחמד בכרי"", ""slug"": ""מוחמד_בכרי""}, {""name"": ""פלורנס בלוך"", ""slug"": ""פלורנס_בלוך""}]",דרמה,2016,,4,C (>1990)
מלחמת 90 הדקות,מלחמת_90_הדקות,2016,"[{""name"": ""אייל חלפון"", ""slug"": ""אייל_חלפון""}, {""name"": ""איתי מאירסון"", ""slug"": null}, {""name"": ""(על בסיס ספרו של"", ""slug"": null}, {""name"": "")"", ""slug"": null}]","[{""name"": ""אייל חלפון"", ""slug"": null}]","[{""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}, {""name"": ""נורמן עיסא"", ""slug"": ""נורמן_עיסא""}]",דרמה פוליטית,2016,,2,C (>1990)
אנטנה,אנטנה_(סרט),2016,"[{""name"": ""אריק רוטשטיין"", ""slug"": ""אריק_רוטשטיין""}]","[{""name"": ""אריק רוטשטיין"", ""slug"": ""אריק_רוטשטיין""}]","[{""name"": ""אלכס פלג"", ""slug"": ""אלכס_פלג""}, {""name"": ""אלי גורנשטיין"", ""slug"": ""אלי_גורנשטיין""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""הילה פלדמן"", ""slug"": ""הילה_פלדמן""}, {""name"": ""ישי גולן"", ""slug"": ""ישי_גולן""}, {""name"": ""מיכאל אלוני"", ""slug"": ""מיכאל_אלוני""}, {""name"": ""מיקי לאון"", ""slug"": ""מיקי_לאון""}]",דרמה,2016,,7,C (>1990)
הרמוניה,,2016,"[{""name"": ""אורי סיון"", ""slug"": ""אורי_סיון_(במאי_קולנוע)""}]","[{""name"": ""אורי סיון"", ""slug"": null}]","[{""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""טלי שרון"", ""slug"": ""טלי_שרון""}, {""name"": ""יאנה יוסף"", ""slug"": ""יאנה_יוסף""}, {""name"": ""עלי סלימאן"", ""slug"": ""עלי_סלימאן""}]",דרמה,2016,,4,C (>1990)
ארבע על ארבע,ארבע_על_ארבע,2016,"[{""name"": ""רועי עידן"", ""slug"": ""רועי_עידן""}]","[{""name"": ""שי כנות"", ""slug"": ""שי_כנות""}]","[{""name"": ""אושרי כהן"", ""slug"": ""אושרי_כהן""}, {""name"": ""עוז זהבי"", ""slug"": ""עוז_זהבי""}, {""name"": ""שלומי קוריאט"", ""slug"": ""שלומי_קוריאט""}, {""name"": ""אבי דנגור"", ""slug"": ""אבי_דנגור""}, {""name"": ""אליאנה תדהר"", ""slug"": ""אליאנה_תדהר""}, {""name"": ""רוני דלומי"", ""slug"": ""רוני_דלומי""}, {""name"": ""נעמי לבוב"", ""slug"": ""נעמי_לבוב""}]",קומדיה,2016,,7,C (>1990)
הפורצת,הפורצת,2016,"[{""name"": ""הגר בן-אשר"", ""slug"": ""הגר_בן-אשר""}]","[{""name"": ""הגר בן-אשר"", ""slug"": null}]","[{""name"": ""ליהי קורנובסקי"", ""slug"": ""ליהי_קורנובסקי""}, {""name"": ""סנדי בר"", ""slug"": ""סנדי_בר""}, {""name"": ""רונלד זרפלד"", ""slug"": ""רונלד_זרפלד""}, {""name"": ""אסף קורמן"", ""slug"": ""אסף_קורמן""}, {""name"": ""לירון בן-שלוש"", ""slug"": ""לירון_בן-שלוש""}]",דרמה,2016,,5,C (>1990)
ההר,ההר,2016,"[{""name"": ""יעל קיים"", ""slug"": ""יעל_קיים""}]","[{""name"": ""יעל קיים"", ""slug"": ""יעל_קיים""}]","[{""name"": ""שני קליין"", ""slug"": ""שני_קליין""}, {""name"": ""אבשלום פולק"", ""slug"": ""אבשלום_פולק""}, {""name"": ""אורלי פרל"", ""slug"": ""אורלי_פרל""}]",דרמה,2016,,3,C (>1990)
אמור,אמור_(סרט),2017,"[{""name"": ""רפאל רביבו"", ""slug"": ""רפאל_רביבו""}]","[{""name"": ""רפאל רביבו"", ""slug"": ""רפאל_רביבו""}]","[{""name"": ""אור אילן"", ""slug"": ""אור_אילן""}, {""name"": ""דן תורג'מן"", ""slug"": ""דן_תורג'מן""}, {""name"": ""לירון לבו"", ""slug"": ""לירון_לבו""}, {""name"": ""נטלי עטיה"", ""slug"": ""נטלי_עטיה""}, {""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}]",דרמה,2017,,6,C (>1990)
"אני אוהב אותך, הסרט",,2017,"[{""name"": ""דני ססלר"", ""slug"": null}]","[{""name"": ""דני ססלר"", ""slug"": null}]","[{""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}, {""name"": ""נטלי עטיה"", ""slug"": ""נטלי_עטיה""}, {""name"": ""אורי הוכמן"", ""slug"": ""אורי_הוכמן""}, {""name"": ""דאנה איבגי"", ""slug"": ""דאנה_איבגי""}, {""name"": ""שרון אלכסנדר"", ""slug"": ""שרון_אלכסנדר""}, {""name"": ""יעל אבקסיס"", ""slug"": ""יעל_אבקסיס""}, {""name"": ""שמעון מימרן"", ""slug"": ""שמעון_מימרן""}]",דרמה,2017,,7,C (>1990)
אנתרקס,"אנתרקס_(סרט,_2017)",2017,[],"[{""name"": ""שי שרף"", ""slug"": null}]","[{""name"": ""נועם קפלן"", ""slug"": null}, {""name"": ""דני קליין"", ""slug"": ""דני_קליין""}, {""name"": ""יותם אביבי"", ""slug"": null}]",דרמה,2017,,3,C (>1990)
בית בגליל,בית_בגליל_(2017),2017,"[{""name"": ""אסף סבן"", ""slug"": ""אסף_סבן""}]","[{""name"": ""נועה קולר"", ""slug"": ""נועה_קולר""}, {""name"": ""אודי רצין"", ""slug"": null}]","[{""name"": ""דרמה"", ""slug"": null}]",,2017,,1,C (>1990)
הבן-דוד,הבן-דוד,2017,"[{""name"": ""צחי גראד"", ""slug"": ""צחי_גראד""}]","[{""name"": ""צחי גראד"", ""slug"": null}]","[{""name"": ""צחי גראד"", ""slug"": ""צחי_גראד""}, {""name"": ""אסנת פישמן"", ""slug"": ""אסנת_פישמן""}, {""name"": ""ירון מוטולה"", ""slug"": ""ירון_מוטולה""}, {""name"": ""אורי הוכמן"", ""slug"": ""אורי_הוכמן""}, {""name"": ""יואב הייט"", ""slug"": ""יואב_הייט""}, {""name"": ""עופר חיון"", ""slug"": ""עופר_חיון""}]",דרמה,2017,,6,C (>1990)
חבורת הטבעת,,2017,"[{""name"": ""שגיב פרידמן"", ""slug"": ""שגיב_פרידמן""}]","[{""name"": ""מתי הררי"", ""slug"": ""מתי_הררי""}, {""name"": ""אריק לובצקי"", ""slug"": ""אריק_לובצקי""}]","[{""name"": ""תומר שחורי"", ""slug"": ""תומר_שחורי""}, {""name"": ""ישראל אטיאס"", ""slug"": ""ישראל_אטיאס""}, {""name"": ""עמית פרקש"", ""slug"": ""עמית_פרקש""}, {""name"": ""דב גליקמן"", ""slug"": ""דב_גליקמן""}, {""name"": ""תמיר ביידר"", ""slug"": null}]",קומדיה,2017,,5,C (>1990)
חדרי הבית,חדרי_הבית,2017,"[{""name"": ""איתן גרין"", ""slug"": ""איתן_גרין""}]","[{""name"": ""איתן גרין"", ""slug"": ""איתן_גרין""}]","[{""name"": ""יובל סגל"", ""slug"": ""יובל_סגל_(1971)""}, {""name"": ""גל זייד"", ""slug"": ""גל_זייד""}, {""name"": ""אסנת פישמן"", ""slug"": ""אסנת_פישמן""}, {""name"": ""אריה צ'רנר"", ""slug"": ""אריה_צ'רנר""}, {""name"": ""דן תורג'מן"", ""slug"": ""דן_תורג'מן""}]",דרמה,2017,,5,C (>1990)
כמעט מפורסמת,כמעט_מפורסמת,2017,"[{""name"": ""מיכל בכר"", ""slug"": null}]","[{""name"": ""מרקו כרמל"", ""slug"": ""מרקו_כרמל""}]","[{""name"": ""עומר דרור"", ""slug"": ""עומר_דרור""}, {""name"": ""ניב סולטן"", ""slug"": ""ניב_סולטן""}, {""name"": ""עמית פרקש"", ""slug"": ""עמית_פרקש""}, {""name"": ""נועה קירל"", ""slug"": ""נועה_קירל""}, {""name"": ""מור פולנוהר"", ""slug"": ""מור_פולנוהר""}, {""name"": ""נואל ברקוביץ'"", ""slug"": ""נואל_ברקוביץ'""}, {""name"": ""עמית יגור"", ""slug"": ""עמית_יגור""}]",דרמת נעורים,2017,,7,C (>1990)
הקיר,הקיר,2017,"[{""name"": ""מורן איפרגן"", ""slug"": ""מורן_איפרגן""}]","[{""name"": ""מורן איפרגן"", ""slug"": null}]",[],תיעודי,2017,,0,C (>1990)
להציל את נטע,להציל_את_נטע,2017,"[{""name"": ""ניר ברגמן"", ""slug"": ""ניר_ברגמן""}]","[{""name"": ""ניר ברגמן"", ""slug"": null}]","[{""name"": ""רותם אבוהב"", ""slug"": ""רותם_אבוהב""}, {""name"": ""בני אבני"", ""slug"": ""בני_אבני""}, {""name"": ""עירית קפלן"", ""slug"": ""עירית_קפלן""}, {""name"": ""נטע ריסקין"", ""slug"": ""נטע_ריסקין""}]",דרמה,2017,,4,C (>1990)
ג'סטה,ג'סטה,2017,"[{""name"": ""קובי מחט"", ""slug"": ""קובי_מחט""}]","[{""name"": ""קובי מחט"", ""slug"": null}]","[{""name"": ""און רפאלי"", ""slug"": ""און_רפאלי""}, {""name"": ""נאיה פדרמן"", ""slug"": ""נאיה_פדרמן""}, {""name"": ""מתן לקס"", ""slug"": ""מתן_לקס""}, {""name"": ""דודו ארז"", ""slug"": ""דודו_ארז""}, {""name"": ""מולי שולמן"", ""slug"": ""מולי_שולמן""}, {""name"": ""הילה ערן"", ""slug"": ""הילה_ערן""}, {""name"": ""אלינה לוי"", ""slug"": ""אלינה_לוי""}, {""name"": ""עמי אנידג'ר"", ""slug"": ""עמי_אנידג'ר""}, {""name"": ""רודי סעדה"", ""slug"": ""רודי_סעדה""}, {""name"": ""יאיר ניצני"", ""slug"": ""יאיר_ניצני""}, {""name"": ""שראל פיטרמן"", ""slug"": ""שראל_פיטרמן""}]",קומדיה,2017,,11,C (>1990)
פוקסטרוט,פוקסטרוט_(סרט),2017,"[{""name"": ""שמוליק מעוז"", ""slug"": ""שמוליק_מעוז""}]","[{""name"": ""שמוליק מעוז"", ""slug"": null}]","[{""name"": ""ליאור אשכנזי"", ""slug"": ""ליאור_אשכנזי""}, {""name"": ""שרה אדלר"", ""slug"": ""שרה_אדלר""}, {""name"": ""יונתן שיראי"", ""slug"": null}, {""name"": ""שירה האס"", ""slug"": ""שירה_האס""}]",דרמה,2017,,4,C (>1990)
לפני הזיכרון,,2017,"[{""name"": ""יהונתן אינדורסקי"", ""slug"": ""יהונתן_אינדורסקי""}]","[{""name"": ""יהונתן אינדורסקי"", ""slug"": ""יהונתן_אינדורסקי""}]","[{""name"": ""רבקה מיכאלי"", ""slug"": ""רבקה_מיכאלי""}, {""name"": ""דובלה גליקמן"", ""slug"": ""דובלה_גליקמן""}, {""name"": ""דב נבון"", ""slug"": ""דב_נבון""}, {""name"": ""יעל אבקסיס"", ""slug"": ""יעל_אבקסיס""}, {""name"": ""יחזקאל לזרוב"", ""slug"": ""יחזקאל_לזרוב""}]",דרמה,2017,,5,C (>1990)
מבצע ביצה,מבצע_ביצה,2017,"[{""name"": ""אלון גור אריה"", ""slug"": ""אלון_גור_אריה""}]","[{""name"": ""אלון גור אריה"", ""slug"": null}]","[{""name"": ""חיים אוסדון"", ""slug"": ""חיים_אוסדון""}, {""name"": ""ירון ברלד"", ""slug"": ""ירון_ברלד""}, {""name"": ""שלומי קוריאט"", ""slug"": ""שלומי_קוריאט""}, {""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""טל מוסרי"", ""slug"": ""טל_מוסרי""}, {""name"": ""תומר שרון"", ""slug"": ""תומר_שרון""}, {""name"": ""דנה אברהם-סמו"", ""slug"": ""דנה_אברהם-סמו""}]","ילדים, קומדיה",2017,,7,C (>1990)
מכתוב,מכתוב_(סרט),2017,"[{""name"": ""חנן סביון"", ""slug"": ""חנן_סביון""}, {""name"": ""גיא עמיר"", ""slug"": ""גיא_עמיר""}]","[{""name"": ""עודד רז"", ""slug"": ""עודד_רז""}]","[{""name"": ""חנן סביון"", ""slug"": ""חנן_סביון""}, {""name"": ""גיא עמיר"", ""slug"": ""גיא_עמיר""}, {""name"": ""גל אמיתי"", ""slug"": ""גל_אמיתי""}, {""name"": ""עדנה בליליוס"", ""slug"": ""עדנה_בליליוס""}, {""name"": ""יגאל נאור"", ""slug"": ""יגאל_נאור""}]",פשע,2017,,5,C (>1990)
דרייבר,דרייבר_(סרט),2018,"[{""name"": ""יהונתן אינדורסקי"", ""slug"": null}]","[{""name"": ""יהונתן אינדורסקי"", ""slug"": ""יהונתן_אינדורסקי""}]","[{""name"": ""משה פולקנפליק"", ""slug"": ""משה_פולקנפליק""}, {""name"": ""מנואל אלקסלסי ורדי"", ""slug"": ""מנואל_אלקסלסי_ורדי""}, {""name"": ""מאור שוויצר"", ""slug"": ""מאור_שוויצר""}]",דרמה,2018,,3,C (>1990)
עד הקצה - ג'סטה 2,עד_הקצה_-_ג'סטה_2,2018,[],"[{""name"": ""קובי מחט"", ""slug"": ""קובי_מחט""}]","[{""name"": ""און רפאלי"", ""slug"": ""און_רפאלי""}, {""name"": ""נאיה פדרמן"", ""slug"": ""נאיה_פדרמן""}, {""name"": ""מתן לקס"", ""slug"": ""מתן_לקס""}]",קומדיה,2018,,3,C (>1990)
גיבור בעננים,גיבור_בעננים,2018,[],"[{""name"": ""יובל שם-טוב"", ""slug"": ""יובל_שם-טוב""}, {""name"": ""אביעד קידר"", ""slug"": null}]","[{""name"": ""יובל שם-טוב"", ""slug"": ""יובל_שם-טוב""}, {""name"": ""שי ורועי"", ""slug"": ""שי_ורועי""}, {""name"": ""עודד פז"", ""slug"": ""עודד_פז""}, {""name"": ""לירית בלבן"", ""slug"": ""לירית_בלבן""}]",קומדיה,2018,,4,C (>1990)
מקוללים,מקוללים,2018,[],"[{""name"": ""יבגני רומן"", ""slug"": ""יבגני_רומן""}]","[{""name"": ""נמרוד הוכנברג"", ""slug"": ""נמרוד_הוכנברג""}, {""name"": ""דניאל גד"", ""slug"": ""דניאל_גד""}, {""name"": ""עמית רהב"", ""slug"": ""עמית_רהב""}]",מתח,2018,,3,C (>1990)
סיפור אחר,סיפור_אחר,2018,[],"[{""name"": ""אבי נשר"", ""slug"": null}]","[{""name"": ""ג'וי ריגר"", ""slug"": ""ג'וי_ריגר""}, {""name"": ""נתן גושן"", ""slug"": ""נתן_גושן""}, {""name"": ""מיה דגן"", ""slug"": ""מיה_דגן""}, {""name"": ""יובל סגל"", ""slug"": ""יובל_סגל_(1971)""}, {""name"": ""אביגיל הררי"", ""slug"": ""אביגיל_הררי""}, {""name"": ""ששון גבאי"", ""slug"": ""ששון_גבאי""}]",דרמה,2018,,6,C (>1990)
לוחם בנשמה,לוחם_בנשמה,2019,"[{""name"": ""יואב רונן"", ""slug"": null}, {""name"": ""רועי אלה"", ""slug"": null}]","[{""name"": ""יואב רונן"", ""slug"": null}]","[{""name"": ""יואב רונן"", ""slug"": null}, {""name"": ""רועי אלה"", ""slug"": null}, {""name"": ""דין מירושניקוב"", ""slug"": ""דין_מירושניקוב""}, {""name"": ""הדס קלדרון"", ""slug"": ""הדס_קלדרון""}, {""name"": ""ערן איוניר"", ""slug"": ""ערן_איוניר""}, {""name"": ""נואית אב"", ""slug"": null}]",דרמה,2019,,6,C (>1990)
הרפתקה בשחקים,הרפתקה_בשחקים,2019,"[{""name"": ""ליאור חפץ"", ""slug"": ""ליאור_חפץ""}]","[{""name"": ""ליאור חפץ"", ""slug"": null}]","[{""name"": ""אמיר טסלר"", ""slug"": ""אמיר_טסלר""}, {""name"": ""אריה צ'רנר"", ""slug"": ""אריה_צ'רנר""}, {""name"": ""ריקי בליך"", ""slug"": ""ריקי_בליך""}, {""name"": ""נתן רביץ"", ""slug"": ""נתן_רביץ""}, {""name"": ""דור הררי"", ""slug"": ""דור_הררי""}, {""name"": ""אורי בלופרב"", ""slug"": ""אורי_בלופרב""}]",דרמה,2019,,6,C (>1990)
קצפת ודובדבנים,קצפת_ודובדבנים,2019,"[{""name"": ""גור בנטוביץ'"", ""slug"": null}]","[{""name"": ""גור בנטוביץ'"", ""slug"": null}]","[{""name"": ""אלון אבוטבול"", ""slug"": null}, {""name"": ""צחי גראד"", ""slug"": null}, {""name"": ""יובל שרף"", ""slug"": null}, {""name"": ""טינקרבל"", ""slug"": null}]","דרמה, קומדיה",2019,,4,C (>1990)
פול גז,פול_גז_(סרט),2019,"[{""name"": ""קובי מחט"", ""slug"": ""קובי_מחט""}]","[{""name"": ""קובי מחט"", ""slug"": null}]","[{""name"": ""תובל שפיר"", ""slug"": ""תובל_שפיר""}, {""name"": ""נאיה בינשטוק"", ""slug"": ""נאיה_בינשטוק""}, {""name"": ""קווין רובין"", ""slug"": ""קווין_רובין""}, {""name"": ""זהר ליבה"", ""slug"": ""זהר_ליבה""}, {""name"": ""אורי פפר"", ""slug"": ""אורי_פפר""}, {""name"": ""עדן סבן"", ""slug"": ""עדן_סבן""}, {""name"": ""נדב גדג'"", ""slug"": ""נדב_גדג'""}, {""name"": ""אביגיל אריאלי"", ""slug"": ""אביגיל_אריאלי""}, {""name"": ""אלי אילדיס"", ""slug"": ""אלי_אילדיס""}]",דרמה,2019,,9,C (>1990)
אסיה,אסיה_(סרט),2020,"[{""name"": ""רותי פרי-בר"", ""slug"": ""רותי_פרי-בר""}]","[{""name"": ""רותי פרי-בר"", ""slug"": null}]","[{""name"": ""שירה האס"", ""slug"": ""שירה_האס""}, {""name"": ""אלונה איב"", ""slug"": ""אלונה_איב""}, {""name"": ""תמיר מולא"", ""slug"": null}, {""name"": ""גרא סנדלר"", ""slug"": ""גרא_סנדלר""}, {""name"": ""עדן חלילי"", ""slug"": null}, {""name"": ""אור ברק"", ""slug"": null}, {""name"": ""נדיה טיכונובה"", ""slug"": null}]",דרמה,2020,,7,C (>1990)
סאבלט,סאבלט_(סרט),2020,"[{""name"": ""איתן פוקס"", ""slug"": ""איתן_פוקס""}]","[{""name"": ""איתן פוקס"", ""slug"": null}]","[{""name"": ""ג'ון בנג'מין היקי"", ""slug"": null}, {""name"": ""ניב ניסים"", ""slug"": null}, {""name"": ""ליהי קורנובסקי"", ""slug"": ""ליהי_קורנובסקי""}, {""name"": ""מיקי קם"", ""slug"": ""מיקי_קם""}, {""name"": ""עומרי לוקאס"", ""slug"": ""גבריאל_עמרי_לוקאס""}, {""name"": ""תמיר גינזבורג"", ""slug"": ""תמיר_גינזבורג""}]","דרמה, רומנטיקה",2020,,6,C (>1990)
הנה אנחנו,הנה_אנחנו,2020,"[{""name"": ""דנה אידיסיס"", ""slug"": ""דנה_אידיסיס""}]","[{""name"": ""ניר ברגמן"", ""slug"": ""ניר_ברגמן""}]","[{""name"": ""שי אביבי"", ""slug"": ""שי_אביבי""}, {""name"": ""נועם אימבר"", ""slug"": ""נועם_אימבר""}, {""name"": ""סמדי וולפמן"", ""slug"": null}, {""name"": ""אפרת בן צור"", ""slug"": ""אפרת_בן_צור""}, {""name"": ""אמיר פלדמן"", ""slug"": null}, {""name"": ""שרון זליקובסקי"", ""slug"": ""שרון_זליקובסקי""}]","דרמה, קומדיה",2020,,6,C (>1990)
סנולנד,סנולנד,2020,"[{""name"": ""יוני זיכהולץ"", ""slug"": ""יוני_זיכהולץ""}, {""name"": ""יובל סגל"", ""slug"": ""יובל_סגל_(1980)""}]","[{""name"": ""יוני זיכהולץ"", ""slug"": null}]","[{""name"": ""שלומי קוריאט"", ""slug"": ""שלומי_קוריאט""}, {""name"": ""אורי פפר"", ""slug"": ""אורי_פפר""}, {""name"": ""טלי שרון"", ""slug"": ""טלי_שרון""}, {""name"": ""נתי קלוגר"", ""slug"": ""נתי_קלוגר""}, {""name"": ""שמיל בן ארי"", ""slug"": ""שמיל_בן_ארי""}]",דרמה,2020,,5,C (>1990)
שאיפה לחיים,שאיפה_לחיים,2020,"[{""name"": ""מתן גוגנהיים"", ""slug"": null}, {""name"": ""אסף אבירי"", ""slug"": null}]","[{""name"": ""מתן גוגנהיים"", ""slug"": null}, {""name"": ""אסף אבירי"", ""slug"": null}]","[{""name"": ""שלמה בראבא"", ""slug"": ""שלמה_בראבא""}, {""name"": ""ג'וי ריגר"", ""slug"": ""ג'וי_ריגר""}, {""name"": ""דב גליקמן"", ""slug"": ""דב_גליקמן""}, {""name"": ""גדי יגיל"", ""slug"": ""גדי_יגיל""}, {""name"": ""אבי קושניר"", ""slug"": ""אבי_קושניר""}]","קומדיה, פשע",2020,,5,C (>1990)
הרפסודה,הרפסודה_(סרט),2020,"[{""name"": ""עמיקם קובנר"", ""slug"": null}, {""name"": ""דניאל קוץ'"", ""slug"": null}]","[{""name"": ""עודד רז"", ""slug"": ""עודד_רז""}]","[{""name"": ""אנה זק"", ""slug"": ""אנה_זק""}, {""name"": ""עומר דהן"", ""slug"": null}, {""name"": ""שחר כרמל"", ""slug"": null}, {""name"": ""עידן שרוקה"", ""slug"": null}, {""name"": ""ברק שמיר"", ""slug"": ""ברק_שמיר""}, {""name"": ""קובי מאור"", ""slug"": ""קובי_מאור""}, {""name"": ""אולה שור-סלקטר"", ""slug"": ""אולה_שור-סלקטר""}, {""name"": ""אריה צ'רנר"", ""slug"": ""אריה_צ'רנר""}]","דרמה, הרפתקה",2020,,8,C (>1990)
