actor_id,actor_name,actor_slug
אריק_איינשטיין,אריק איינשטיין,אריק_איינשטיין
אריק_לביא,אריק לביא,אריק_לביא
אריק_משעלי,אריק משעלי,אריק_משעלי
אריק_קנלר,אריק קנלר,אריק_קנלר
__name__:אריק רוזן,אריק רוזן,
ארנון_צדוק,ארנון צדוק,ארנון_צדוק
__name__:ארנון צדוק,ארנון צדוק,
__name__:ארקדיוש יקוביק,ארקדיוש יקוביק,
__name__:אשר אברהמי,אשר אברהמי,
אשר_צרפתי,אשר צרפתי,אשר_צרפתי
אתי_אנקרי,אתי אנקרי,אתי_אנקרי
אתי_גרוטס,אתי גרוטס,אתי_גרוטס
אתל_קובינסקה,אתל קובינסקה,אתל_קובינסקה
בבר_יוקו,בבר יוקו,בבר_יוקו
__name__:בהירה בלאסי,בהירה בלאסי,
בובי_לקס,בובי לקס,בובי_לקס
בומבה_צור,בומבה צור,בומבה_צור
__name__:בועז דוידזון,בועז דוידזון,
בועז_קונפורטי,בועז קונפורטי,בועז_קונפורטי
בטי_סגל,בטי סגל,בטי_סגל
__name__:בן איתין,בן איתין,
בן_לוין,בן לוין,בן_לוין
בן_סולטן,בן סולטן,בן_סולטן
__name__:בן ציון,בן ציון,
בני_אבני,בני אבני,בני_אבני
__name__:בני קפלה,בני קפלה,
__name__:בני שיף,בני שיף,
בסאם_זועמוט,בסאם זועמוט,בסאם_זועמוט
בר_בלפר,בר בלפר,בר_בלפר
בר_כהן_מוראד,בר כהן מוראד,בר_כהן_מוראד
בר_מיניאלי,בר מיניאלי,בר_מיניאלי
בר_רפאלי,בר רפאלי,בר_רפאלי
ברוך_ברנר,ברוך ברנר,ברוך_ברנר
ברוך_דוד,ברוך דוד,ברוך_דוד
ברוך_ששון,ברוך ששון,ברוך_ששון
ברק_שמיר,ברק שמיר,ברק_שמיר
בת_אל_מוסרי,בת אל מוסרי,בת_אל_מוסרי
בת_חן_סבג,בת חן סבג,בת_חן_סבג
__name__:בתיה בר,בתיה בר,
בתיה_לנצט,בתיה לנצט,בתיה_לנצט
בתיה_רוזנטל,בתיה רוזנטל,בתיה_רוזנטל
__name__:ג'ו סינדויג'ה,ג'ו סינדויג'ה,
ג'ואנה_סעיד,ג'ואנה סעיד,ג'ואנה_סעיד
ג'ובאני_רוסו,ג'ובאני רוסו,ג'ובאני_רוסו
ג'וזי_כץ,ג'וזי כץ,ג'וזי_כץ
__name__:ג'וזף בי,ג'וזף בי,
ג'וי_ריגר,ג'וי ריגר,ג'וי_ריגר
ג'וליאנו_מר,ג'וליאנו מר,ג'וליאנו_מר
ג'וליה_מסלאווי,ג'וליה מסלאווי,ג'וליה_מסלאווי
__name__:ג'וליה סמסון,ג'וליה סמסון,
__name__:ג'ון בנג'מין היקי,ג'ון בנג'מין היקי,
__name__:ג'ונה סולימאן,ג'ונה סולימאן,
ג'וני_ערביד,ג'וני ערביד,ג'וני_ערביד
__name__:ג'ורג' אסכנדר,ג'ורג' אסכנדר,
__name__:ג'וש פייס,ג'וש פייס,
ג'וש_שגיא,ג'וש שגיא,ג'וש_שגיא
ג'טה_לוקה,ג'טה לוקה,ג'טה_לוקה
ג'יזל_סילבר,ג'יזל סילבר,ג'יזל_סילבר
__name__:ג'לאל מסרוה,ג'לאל מסרוה,
__name__:ג'נט סבג,ג'נט סבג,
__name__:ג'ניה צ'רניק,ג'ניה צ'רניק,
ג'ף_גולדבלום,ג'ף גולדבלום,ג'ף_גולדבלום
__name__:ג'ק אדליסט,ג'ק אדליסט,
__name__:ג'רמי פינטו,ג'רמי פינטו,
גאולה_גיל,גאולה גיל,גאולה_גיל
גאולה_נוני,גאולה נוני,גאולה_נוני
גאיה_טראוב,גאיה טראוב,גאיה_טראוב
גבי_אוטרמן,גבי אוטרמן,גבי_אוטרמן
גבי_אלדור,גבי אלדור,גבי_אלדור
גבי_דן,גבי דן,גבי_דן
גבי_עמרני,גבי עמרני,גבי_עמרני
